"","x"
"424",2068
"425",14445
"426",24416
"427",27963
"428",48834
"429",61713
"430",61911
"431",64773
"432",71686
"433",78743
"434",82226
"435",7011
"436",8797
"437",14530
"438",15770
"439",20295
"440",22013
"441",25236
"442",27142
"443",31166
"444",31486
"445",37124
"446",37304
"447",37543
"448",42011
"449",43657
"450",48375
"451",55050
"452",59322
"453",62237
"454",68833
"455",72189
"456",77411
"457",79235
"458",79537
"459",85321
"460",88316
"461",90836
"462",95182
"463",102874
"464",103197
"465",110189
"466",130173
"467",2464
"468",13205
"469",16423
"470",16433
"471",18076
"472",19575
"473",23975
"474",26537
"475",29783
"476",38148
"477",44308
"478",44894
"479",48064
"480",48975
"481",49612
"482",53335
"483",55904
"484",59647
"485",72714
"486",74617
"487",75082
"488",82275
"489",86976
"490",108360
"491",113967
"492",117782
"493",124930
"494",128201
"495",128433
"496",130270
"497",138977
"498",139249
"499",2924
"500",25444
"501",31792
"502",34700
"503",38213
"504",48994
"505",66321
"506",66729
"507",67334
"508",83828
"509",88186
"510",88719
"511",92219
"512",102243
"513",108521
"514",113139
"515",118133
"516",120386
"517",122341
"518",132511
"519",1594
"520",2169
"521",3837
"522",5351
"523",6272
"524",14381
"525",17589
"526",21114
"527",33931
"528",36075
"529",38680
"530",41472
"531",43892
"532",52099
"533",53336
"534",54867
"535",55379
"536",60125
"537",62758
"538",63710
"539",67955
"540",80005
"541",80065
"542",83053
"543",85220
"544",90440
"545",96934
"546",99442
"547",109740
"548",120016
"549",123081
"550",140812
"551",6618
"552",11747
"553",18311
"554",19599
"555",24002
"556",29732
"557",35796
"558",36148
"559",41784
"560",43781
"561",51037
"562",54593
"563",55632
"564",57599
"565",59720
"566",60258
"567",60787
"568",73043
"569",77040
"570",78074
"571",79610
"572",80992
"573",95676
"574",104491
"575",108238
"576",108569
"577",117266
"578",123573
"579",126620
"580",128007
"581",129398
"582",983
"583",3634
"584",6197
"585",9060
"586",13008
"587",13962
"588",15807
"589",16162
"590",23188
"591",27016
"592",27640
"593",28344
"594",30001
"595",44068
"596",50368
"597",51021
"598",56700
"599",65349
"600",68164
"601",68233
"602",70943
"603",72037
"604",78949
"605",79830
"606",86409
"607",93283
"608",93311
"609",100530
"610",102302
"611",116152
"612",123914
"613",126531
"614",126861
"615",462
"616",9193
"617",15671
"618",23365
"619",32237
"620",42206
"621",49478
"622",55645
"623",55670
"624",57341
"625",59239
"626",59824
"627",60686
"628",65523
"629",67564
"630",70387
"631",71619
"632",76080
"633",80894
"634",84034
"635",87428
"636",90307
"637",91341
"638",91351
"639",92301
"640",102427
"641",108101
"642",118114
"643",123606
"644",125036
"645",136158
"646",136302
"647",10781
"648",34583
"649",37555
"650",54572
"651",73325
"652",85194
"653",98380
"654",101178
"655",102234
"656",117460
"657",121735
"658",133186
"659",7730
"660",68902
"661",71109
"662",81162
"663",106889
"664",121297
"665",852
"666",3465
"667",7330
"668",8970
"669",12767
"670",17860
"671",23062
"672",36129
"673",38194
"674",42259
"675",44174
"676",52007
"677",52086
"678",52642
"679",62870
"680",68394
"681",71362
"682",78733
"683",84936
"684",85546
"685",89156
"686",99600
"687",99666
"688",100285
"689",107533
"690",112210
"691",119428
"692",127585
"693",1736
"694",10642
"695",14840
"696",14844
"697",24656
"698",27969
"699",30880
"700",42967
"701",43028
"702",47392
"703",48645
"704",49682
"705",49855
"706",52812
"707",53141
"708",67110
"709",68544
"710",77254
"711",78649
"712",82865
"713",90058
"714",91330
"715",103421
"716",106384
"717",106539
"718",110243
"719",117772
"720",118391
"721",119669
"722",130594
"723",132416
"724",134456
"725",134549
"726",16517
"727",31767
"728",39799
"729",68629
"730",73060
"731",78003
"732",107306
"733",123254
"734",124295
"735",124573
"736",131016
"737",138014
"738",14082
"739",24545
"740",38419
"741",40279
"742",46274
"743",59657
"744",60468
"745",77795
"746",94455
"747",104517
"748",116942
"749",124342
"750",137997
"751",1110
"752",5441
"753",8483
"754",8729
"755",18026
"756",26203
"757",32917
"758",32919
"759",39592
"760",45129
"761",45543
"762",49340
"763",57594
"764",62895
"765",63600
"766",76514
"767",76754
"768",79749
"769",80377
"770",81877
"771",88394
"772",93051
"773",93357
"774",98884
"775",99489
"776",101396
"777",102347
"778",102969
"779",106243
"780",114399
"781",122407
"782",128825
"783",130028
"784",131865
"785",7860
"786",14690
"787",20717
"788",21398
"789",26127
"790",28050
"791",41679
"792",41841
"793",46418
"794",48395
"795",48889
"796",51180
"797",56731
"798",57117
"799",62638
"800",65106
"801",68553
"802",82343
"803",84110
"804",84430
"805",87888
"806",88639
"807",89334
"808",94077
"809",95987
"810",97758
"811",98838
"812",107871
"813",109744
"814",117252
"815",117673
"816",121935
"817",125995
"818",2459
"819",2746
"820",4746
"821",12518
"822",22849
"823",24719
"824",26022
"825",30250
"826",34900
"827",35202
"828",37697
"829",39862
"830",40830
"831",46260
"832",46647
"833",56595
"834",58953
"835",58982
"836",60429
"837",61507
"838",61656
"839",67107
"840",70572
"841",74211
"842",75863
"843",77376
"844",87074
"845",92809
"846",95966
"847",99362
"848",109192
"849",116079
"850",129399
"851",131102
"852",19498
"853",48894
"854",66227
"855",83796
"856",116767
"857",1039
"858",4043
"859",12035
"860",21391
"861",25741
"862",25997
"863",28168
"864",28672
"865",37933
"866",43027
"867",46112
"868",47749
"869",56741
"870",56806
"871",58733
"872",60661
"873",61018
"874",65403
"875",67825
"876",71596
"877",76541
"878",93411
"879",93778
"880",103522
"881",108588
"882",109466
"883",114133
"884",136843
"885",4875
"886",6439
"887",10746
"888",10996
"889",23078
"890",23212
"891",23268
"892",25416
"893",31169
"894",38538
"895",38725
"896",41712
"897",43010
"898",45080
"899",53494
"900",61529
"901",64762
"902",68923
"903",69261
"904",74754
"905",77935
"906",78838
"907",106262
"908",111170
"909",121267
"910",126462
"911",126657
"912",135499
"913",138600
"914",139366
"915",9665
"916",10044
"917",19826
"918",32240
"919",34222
"920",36651
"921",36822
"922",46734
"923",55718
"924",55949
"925",59175
"926",81549
"927",97131
"928",105688
"929",109846
"930",121991
"931",126301
"932",127403
"933",135774
"934",12870
"935",21198
"936",25564
"937",36045
"938",44170
"939",51883
"940",53172
"941",64949
"942",66917
"943",72731
"944",80422
"945",86248
"946",88389
"947",90380
"948",98851
"949",107721
"950",110663
"951",119316
"952",119727
"953",122299
"954",139193
"955",139453
"956",6400
"957",11314
"958",14002
"959",19965
"960",25027
"961",32279
"962",34575
"963",35556
"964",40218
"965",47427
"966",54739
"967",59204
"968",63519
"969",64017
"970",69149
"971",81352
"972",85657
"973",87171
"974",94850
"975",96517
"976",100080
"977",114067
"978",114201
"979",115994
"980",116668
"981",118722
"982",119002
"983",122468
"984",126555
"985",128481
"986",132664
"987",133846
"988",138447
"989",139596
"990",9246
"991",10223
"992",16549
"993",31638
"994",35509
"995",35871
"996",41413
"997",44447
"998",45448
"999",48580
"1000",48944
"1001",50222
"1002",50538
"1003",53541
"1004",96963
"1005",98894
"1006",103326
"1007",104830
"1008",105318
"1009",106836
"1010",108208
"1011",110255
"1012",112005
"1013",114988
"1014",120971
"1015",129796
"1016",129847
"1017",138055
"1018",140297
"1019",5392
"1020",12386
"1021",12753
"1022",14951
"1023",16173
"1024",18207
"1025",44865
"1026",51215
"1027",55561
"1028",61648
"1029",62104
"1030",73731
"1031",79465
"1032",84742
"1033",85213
"1034",85360
"1035",86174
"1036",91180
"1037",93908
"1038",95420
"1039",106309
"1040",109299
"1041",112761
"1042",115192
"1043",122777
"1044",126624
"1045",130094
"1046",130325
"1047",131441
"1048",133669
"1049",134818
"1050",135578
"1051",409
"1052",8082
"1053",13304
"1054",17621
"1055",23410
"1056",24724
"1057",36186
"1058",38979
"1059",46740
"1060",46899
"1061",48982
"1062",54601
"1063",57787
"1064",61241
"1065",62064
"1066",62200
"1067",65114
"1068",68066
"1069",71230
"1070",78229
"1071",78407
"1072",83626
"1073",85245
"1074",91132
"1075",97805
"1076",101260
"1077",103248
"1078",107761
"1079",109084
"1080",117220
"1081",120988
"1082",131969
"1083",132963
"1084",5439
"1085",5449
"1086",6997
"1087",10797
"1088",14142
"1089",18221
"1090",21495
"1091",22883
"1092",24452
"1093",25511
"1094",29333
"1095",31940
"1096",32934
"1097",42779
"1098",48883
"1099",48955
"1100",54139
"1101",54833
"1102",56050
"1103",67867
"1104",76439
"1105",95600
"1106",100632
"1107",103860
"1108",105910
"1109",107576
"1110",115617
"1111",116536
"1112",123469
"1113",127688
"1114",128085
"1115",128605
"1116",129044
"1117",135153
"1118",138061
"1119",138112
"1120",22864
"1121",32037
"1122",43900
"1123",88503
"1124",94514
"1125",95527
"1126",105083
"1127",106305
"1128",138563
"1129",13188
"1130",21029
"1131",22105
"1132",34188
"1133",35935
"1134",38652
"1135",40207
"1136",47696
"1137",48979
"1138",53411
"1139",61165
"1140",65210
"1141",65233
"1142",75554
"1143",76733
"1144",82919
"1145",84040
"1146",84398
"1147",88032
"1148",89032
"1149",92084
"1150",95138
"1151",98235
"1152",109823
"1153",117400
"1154",117407
"1155",122585
"1156",129099
"1157",129814
"1158",137216
"1159",1521
"1160",2499
"1161",5437
"1162",6611
"1163",7668
"1164",12068
"1165",15179
"1166",18824
"1167",57208
"1168",57606
"1169",69715
"1170",78230
"1171",84616
"1172",94923
"1173",95227
"1174",100068
"1175",103192
"1176",107524
"1177",113137
"1178",119634
"1179",123048
"1180",140139
"1181",3194
"1182",3803
"1183",13279
"1184",28614
"1185",32317
"1186",42000
"1187",45264
"1188",64413
"1189",73017
"1190",84319
"1191",87255
"1192",90679
"1193",102998
"1194",126163
"1195",137648
"1196",155
"1197",757
"1198",2318
"1199",30408
"1200",31240
"1201",33406
"1202",34017
"1203",39803
"1204",39946
"1205",43481
"1206",51019
"1207",56766
"1208",57725
"1209",59075
"1210",69684
"1211",77069
"1212",81132
"1213",82433
"1214",83668
"1215",88072
"1216",94653
"1217",95731
"1218",98246
"1219",99957
"1220",107519
"1221",110078
"1222",111240
"1223",115385
"1224",120684
"1225",123198
"1226",129105
"1227",21018
"1228",26248
"1229",35223
"1230",37818
"1231",38904
"1232",49656
"1233",57952
"1234",59781
"1235",60846
"1236",68420
"1237",70177
"1238",77089
"1239",77914
"1240",78500
"1241",90809
"1242",90845
"1243",114932
"1244",122112
"1245",125083
"1246",131892
"1247",134154
"1248",134323
"1249",663
"1250",2345
"1251",6317
"1252",12146
"1253",13867
"1254",21354
"1255",24796
"1256",30093
"1257",30533
"1258",31304
"1259",32536
"1260",33553
"1261",37900
"1262",39772
"1263",54515
"1264",54635
"1265",59936
"1266",63493
"1267",102274
"1268",102629
"1269",103518
"1270",104086
"1271",108277
"1272",111896
"1273",111936
"1274",115500
"1275",120738
"1276",121304
"1277",127204
"1278",135030
"1279",138643
"1280",3153
"1281",7753
"1282",9077
"1283",10239
"1284",25916
"1285",29943
"1286",30605
"1287",38823
"1288",45141
"1289",47648
"1290",49198
"1291",54922
"1292",63271
"1293",63685
"1294",68904
"1295",71409
"1296",74277
"1297",83745
"1298",85754
"1299",94642
"1300",97983
"1301",99529
"1302",101267
"1303",102461
"1304",107809
"1305",117341
"1306",119202
"1307",122138
"1308",123193
"1309",125513
"1310",139959
"1311",140117
"1312",140723
"1313",1059
"1314",1815
"1315",3652
"1316",9787
"1317",17270
"1318",24446
"1319",24626
"1320",32091
"1321",32513
"1322",39801
"1323",39887
"1324",40812
"1325",41079
"1326",45852
"1327",58517
"1328",60830
"1329",64604
"1330",70694
"1331",72778
"1332",73123
"1333",81728
"1334",82914
"1335",83005
"1336",89919
"1337",103266
"1338",105168
"1339",108558
"1340",117273
"1341",123957
"1342",136554
"1343",419
"1344",6654
"1345",18085
"1346",24021
"1347",31359
"1348",39748
"1349",56064
"1350",58136
"1351",62168
"1352",66506
"1353",67376
"1354",67569
"1355",68002
"1356",77465
"1357",80251
"1358",84526
"1359",85065
"1360",89951
"1361",91084
"1362",91687
"1363",98359
"1364",98457
"1365",109594
"1366",111508
"1367",111940
"1368",112568
"1369",119127
"1370",124166
"1371",125053
"1372",131344
"1373",136880
"1374",137514
"1375",3795
"1376",6268
"1377",12415
"1378",15105
"1379",24393
"1380",32349
"1381",45953
"1382",51341
"1383",56800
"1384",57197
"1385",57206
"1386",58816
"1387",71357
"1388",83018
"1389",88144
"1390",91550
"1391",101793
"1392",102395
"1393",103272
"1394",115119
"1395",116644
"1396",123878
"1397",131863
"1398",135513
"1399",139340
"1400",139954
"1401",1746
"1402",6900
"1403",11177
"1404",14606
"1405",15033
"1406",19543
"1407",25486
"1408",43607
"1409",48309
"1410",50388
"1411",56248
"1412",58916
"1413",63666
"1414",63854
"1415",66658
"1416",72004
"1417",74767
"1418",78244
"1419",80933
"1420",81528
"1421",87451
"1422",93477
"1423",105804
"1424",111449
"1425",112919
"1426",116773
"1427",117955
"1428",121281
"1429",123292
"1430",124374
"1431",125488
"1432",134331
"1433",11810
"1434",17899
"1435",20881
"1436",22273
"1437",29378
"1438",33453
"1439",33926
"1440",42504
"1441",47215
"1442",47839
"1443",57865
"1444",62688
"1445",64408
"1446",66715
"1447",71096
"1448",74800
"1449",75137
"1450",75320
"1451",84362
"1452",84459
"1453",86608
"1454",87705
"1455",90077
"1456",108340
"1457",117170
"1458",121072
"1459",121976
"1460",124347
"1461",129075
"1462",130837
"1463",139280
"1464",3599
"1465",36669
"1466",45407
"1467",46753
"1468",50184
"1469",63132
"1470",64336
"1471",65853
"1472",66541
"1473",71309
"1474",101865
"1475",123395
"1476",131935
"1477",10243
"1478",37910
"1479",48041
"1480",77585
"1481",95762
"1482",127444
"1483",73
"1484",13493
"1485",18369
"1486",26913
"1487",39675
"1488",57273
"1489",57494
"1490",65899
"1491",67981
"1492",68207
"1493",73860
"1494",73927
"1495",84698
"1496",92570
"1497",112905
"1498",113470
"1499",116934
"1500",123847
"1501",140700
"1502",1249
"1503",7651
"1504",12224
"1505",16939
"1506",35646
"1507",37182
"1508",37742
"1509",39277
"1510",42499
"1511",45331
"1512",47283
"1513",50864
"1514",51208
"1515",53930
"1516",57264
"1517",59729
"1518",67792
"1519",71784
"1520",87342
"1521",91169
"1522",94210
"1523",98216
"1524",100110
"1525",101276
"1526",102315
"1527",106263
"1528",106653
"1529",120535
"1530",124763
"1531",129843
"1532",130102
"1533",130336
"1534",135040
"1535",136803
"1536",6727
"1537",6889
"1538",19953
"1539",48593
"1540",53826
"1541",87383
"1542",94926
"1543",113619
"1544",120242
"1545",131052
"1546",15095
"1547",25068
"1548",38062
"1549",53011
"1550",72201
"1551",126097
"1552",131658
"1553",562
"1554",2311
"1555",5502
"1556",21133
"1557",24575
"1558",27314
"1559",35788
"1560",37381
"1561",37671
"1562",40200
"1563",51644
"1564",57259
"1565",58706
"1566",70348
"1567",75956
"1568",76316
"1569",80564
"1570",84707
"1571",89371
"1572",98395
"1573",99504
"1574",105533
"1575",112872
"1576",113546
"1577",115080
"1578",125400
"1579",126997
"1580",131920
"1581",133022
"1582",136604
"1583",137159
"1584",139614
"1585",1753
"1586",3367
"1587",5124
"1588",6906
"1589",22780
"1590",23190
"1591",44796
"1592",52451
"1593",55070
"1594",59324
"1595",66475
"1596",68495
"1597",72424
"1598",77990
"1599",78572
"1600",88347
"1601",95258
"1602",97574
"1603",103339
"1604",111838
"1605",112345
"1606",118936
"1607",128090
"1608",138575
"1609",10206
"1610",30017
"1611",37446
"1612",55917
"1613",56497
"1614",57276
"1615",61133
"1616",72227
"1617",73289
"1618",73770
"1619",74488
"1620",80682
"1621",81513
"1622",82267
"1623",84285
"1624",93179
"1625",94677
"1626",95996
"1627",99741
"1628",103397
"1629",104685
"1630",117892
"1631",124699
"1632",130210
"1633",139666
"1634",139727
"1635",339
"1636",2239
"1637",3902
"1638",4409
"1639",6227
"1640",8621
"1641",18247
"1642",20446
"1643",27239
"1644",29684
"1645",35634
"1646",37064
"1647",39212
"1648",51709
"1649",56424
"1650",56503
"1651",58070
"1652",65197
"1653",69293
"1654",86504
"1655",95896
"1656",97028
"1657",103034
"1658",105822
"1659",106638
"1660",113749
"1661",128524
"1662",134585
"1663",136291
"1664",136555
"1665",3067
"1666",7766
"1667",9488
"1668",10337
"1669",12391
"1670",12749
"1671",23308
"1672",23685
"1673",30775
"1674",40394
"1675",42164
"1676",50096
"1677",50458
"1678",52756
"1679",52948
"1680",63425
"1681",76403
"1682",78145
"1683",79931
"1684",80342
"1685",92350
"1686",92529
"1687",96446
"1688",99466
"1689",99756
"1690",109436
"1691",111475
"1692",117260
"1693",124240
"1694",125080
"1695",126405
"1696",128982
"1697",135081
"1698",5507
"1699",6595
"1700",27980
"1701",29029
"1702",31430
"1703",31944
"1704",33697
"1705",38619
"1706",57329
"1707",70314
"1708",74053
"1709",79499
"1710",80523
"1711",117643
"1712",136791
"1713",5105
"1714",19323
"1715",27867
"1716",34029
"1717",40715
"1718",56679
"1719",60928
"1720",69327
"1721",71393
"1722",94927
"1723",101010
"1724",104975
"1725",109463
"1726",110879
"1727",113644
"1728",119256
"1729",126860
"1730",134638
"1731",139756
"1732",17289
"1733",37055
"1734",40001
"1735",40869
"1736",46785
"1737",56740
"1738",64962
"1739",70524
"1740",85908
"1741",88164
"1742",98055
"1743",100524
"1744",106930
"1745",111829
"1746",118021
"1747",125433
"1748",125776
"1749",642
"1750",2166
"1751",2380
"1752",3828
"1753",11725
"1754",13030
"1755",17408
"1756",18856
"1757",19287
"1758",27091
"1759",42036
"1760",47268
"1761",53599
"1762",59244
"1763",61547
"1764",63962
"1765",63963
"1766",69770
"1767",75919
"1768",78621
"1769",86507
"1770",86727
"1771",101197
"1772",101507
"1773",107998
"1774",115935
"1775",118614
"1776",121525
"1777",127879
"1778",130340
"1779",137070
"1780",4629
"1781",27999
"1782",51912
"1783",107963
"1784",109727
"1785",110374
"1786",113433
"1787",122708
"1788",123004
"1789",132524
"1790",139153
"1791",1707
"1792",8962
"1793",11102
"1794",24559
"1795",25075
"1796",25476
"1797",30338
"1798",30593
"1799",32887
"1800",33977
"1801",38291
"1802",38750
"1803",47179
"1804",59546
"1805",62400
"1806",72492
"1807",84122
"1808",100685
"1809",101984
"1810",126665
"1811",138470
"1812",1639
"1813",1807
"1814",19912
"1815",23608
"1816",26530
"1817",39824
"1818",39917
"1819",42961
"1820",44356
"1821",46638
"1822",48087
"1823",60257
"1824",61163
"1825",61502
"1826",62336
"1827",67043
"1828",70052
"1829",78995
"1830",79872
"1831",89067
"1832",94865
"1833",99626
"1834",100733
"1835",103265
"1836",105781
"1837",112560
"1838",119557
"1839",126151
"1840",127870
"1841",129637
"1842",129645
"1843",131557
"1844",139282
"1845",3709
"1846",11719
"1847",12082
"1848",13297
"1849",15174
"1850",17345
"1851",21469
"1852",26548
"1853",30867
"1854",33341
"1855",39764
"1856",40814
"1857",41001
"1858",48815
"1859",50787
"1860",50912
"1861",57548
"1862",62593
"1863",63794
"1864",67367
"1865",68723
"1866",77219
"1867",77275
"1868",95187
"1869",105300
"1870",110402
"1871",119388
"1872",121076
"1873",126103
"1874",130231
"1875",132974
"1876",133227
"1877",136686
"1878",3086
"1879",3526
"1880",5870
"1881",11566
"1882",18453
"1883",33555
"1884",37018
"1885",40807
"1886",46314
"1887",71836
"1888",92204
"1889",94125
"1890",95130
"1891",96493
"1892",97119
"1893",97212
"1894",103905
"1895",107168
"1896",124728
"1897",133137
"1898",134455
"1899",137873
"1900",38161
"1901",55264
"1902",69670
"1903",83831
"1904",89878
"1905",98465
"1906",132045
"1907",140202
"1908",1230
"1909",1497
"1910",3213
"1911",14536
"1912",20592
"1913",21155
"1914",30950
"1915",35817
"1916",36427
"1917",37346
"1918",44923
"1919",62762
"1920",71181
"1921",78624
"1922",79740
"1923",86639
"1924",90730
"1925",105408
"1926",110940
"1927",118314
"1928",122621
"1929",126264
"1930",2511
"1931",4841
"1932",7720
"1933",8787
"1934",11746
"1935",12933
"1936",16951
"1937",19560
"1938",25623
"1939",27710
"1940",48901
"1941",59298
"1942",63602
"1943",74575
"1944",84978
"1945",88744
"1946",90582
"1947",91990
"1948",101892
"1949",108619
"1950",111990
"1951",113858
"1952",113958
"1953",115614
"1954",116501
"1955",119593
"1956",120747
"1957",124869
"1958",132543
"1959",135660
"1960",139129
"1961",139861
"1962",8813
"1963",12340
"1964",22260
"1965",25267
"1966",38690
"1967",45406
"1968",53715
"1969",57342
"1970",59881
"1971",67264
"1972",75694
"1973",79650
"1974",81298
"1975",87174
"1976",88834
"1977",94756
"1978",96033
"1979",102753
"1980",107018
"1981",107911
"1982",109197
"1983",109402
"1984",118068
"1985",125244
"1986",126597
"1987",134386
"1988",134559
"1989",137385
"1990",139708
"1991",29633
"1992",117294
"1993",6774
"1994",11591
"1995",17809
"1996",18377
"1997",24052
"1998",49264
"1999",51436
"2000",54628
"2001",57228
"2002",68622
"2003",80139
"2004",80493
"2005",85927
"2006",89300
"2007",91984
"2008",95267
"2009",97020
"2010",99333
"2011",100226
"2012",101124
"2013",101890
"2014",106868
"2015",111803
"2016",117255
"2017",118199
"2018",119030
"2019",121104
"2020",121299
"2021",132250
"2022",135613
"2023",137526
"2024",1990
"2025",14947
"2026",28125
"2027",33176
"2028",63255
"2029",82295
"2030",86422
"2031",91438
"2032",91755
"2033",108150
"2034",120309
"2035",124466
"2036",805
"2037",1182
"2038",1284
"2039",2285
"2040",13608
"2041",24534
"2042",29094
"2043",35226
"2044",43395
"2045",46489
"2046",53118
"2047",59549
"2048",59928
"2049",68004
"2050",69951
"2051",75245
"2052",80768
"2053",82629
"2054",91066
"2055",97279
"2056",97826
"2057",100595
"2058",107629
"2059",119037
"2060",124476
"2061",138939
"2062",7941
"2063",17596
"2064",34217
"2065",45566
"2066",57319
"2067",62697
"2068",81762
"2069",92078
"2070",93839
"2071",99629
"2072",100312
"2073",127878
"2074",7919
"2075",8586
"2076",40517
"2077",41278
"2078",70606
"2079",70839
"2080",101627
"2081",125311
"2082",1212
"2083",12303
"2084",18413
"2085",30262
"2086",32340
"2087",43287
"2088",43479
"2089",47993
"2090",48833
"2091",51954
"2092",52836
"2093",61118
"2094",63288
"2095",64785
"2096",66364
"2097",70592
"2098",72691
"2099",74712
"2100",76926
"2101",80593
"2102",95990
"2103",100559
"2104",103269
"2105",105479
"2106",107402
"2107",107884
"2108",110338
"2109",119182
"2110",119458
"2111",129891
"2112",137256
"2113",137856
"2114",41277
"2115",55943
"2116",99032
"2117",129378
"2118",130894
"2119",136922
"2120",138494
"2121",138896
"2122",500
"2123",10682
"2124",21038
"2125",24904
"2126",30743
"2127",40256
"2128",60572
"2129",66248
"2130",75222
"2131",80325
"2132",87830
"2133",89184
"2134",90777
"2135",94126
"2136",103692
"2137",114870
"2138",120288
"2139",7847
"2140",13552
"2141",14754
"2142",24572
"2143",25386
